Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
35-44,Nonprofits,Financial Analyst Senior,75000.0,0.0,USD,USA,Texas,8 - 10 years,8 - 10 years,College degree,Male,White
35-44,Health care,Social Worker,74500.0,500.0,CAD,Canada,Outside of the US,8 - 10 years,2 - 4 years,Master's degree,Female,White
45-54,Health care,System Analyst,75000.0,0.0,USD,USA,Texas,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Business or Consulting,Senior Associate,151000.0,10000.0,USD,USA,New York,8 - 10 years,2 - 4 years,Master's degree,Male,Asian or Asian American
25-34,Health care,"Director, Analytics",135000.0,25000.0,USD,USA,New York,11 - 20 years,8 - 10 years,College degree,Non-binary,White
35-44,Government and Public Administration,Manager,60345.0,0.0,USD,USA,Illinois,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Health care,Registered nurse,61300.0,13100.0,USD,USA,Idaho,11 - 20 years,5-7 years,College degree,Female,White
45-54,Health care,"Manager, IT Hospital billing ",145000.0,10000.0,USD,USA,Texas,21 - 30 years,5-7 years,Master's degree,Female,White
18-24,Computing or Tech,Software Developer,74000.0,0.0,USD,USA,Kansas,5-7 years,5-7 years,High School,Male,White
35-44,Engineering or Manufacturing,Personal Assistant,46980.0,7830.0,Other,Singapore,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,Asian or Asian American
25-34,Education (Higher Education),Project Manager II,60000.0,0.0,USD,USA,Pennsylvania,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Media & Digital,Client Manager,53500.0,1000.0,USD,USA,North Carolina,5-7 years,5-7 years,College degree,Male,White
25-34,Law,Deputy County Counsel,136000.0,0.0,USD,USA,California,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Public Library,Adult Services Librarian,55000.0,800.0,USD,USA,Texas,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Business or Consulting,Analytics,160000.0,20000.0,USD,USA,California,11 - 20 years,8 - 10 years,Master's degree,Male,White
35-44,Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants),Senior Research Coordinator,49500.0,0.0,USD,USA,Pennsylvania,11 - 20 years,2 - 4 years,Master's degree,Female,Black or African American
25-34,Transport or Logistics,Supply Chain Specialist,47000.0,2000.0,USD,USA,California,2 - 4 years,1 year or less,College degree,Male,"Hispanic, Latino, or Spanish origin, White"
18-24,Nonprofits,Program Associate ,37000.0,1000.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,Another option not listed here or prefer not to answer
35-44,Health care,Senior Office Coordinator,50000.0,0.0,USD,USA,Maryland,8 - 10 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Senior Software Engineer,160000.0,15000.0,USD,USA,California,8 - 10 years,5-7 years,Master's degree,Male,White
35-44,Computing or Tech,Senior Technical Program Manager,154000.0,84000.0,USD,USA,Washington,11 - 20 years,8 - 10 years,Some college,Female,Asian or Asian American
35-44,Computing or Tech,Quality control ,84000.0,1000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Male,"Hispanic, Latino, or Spanish origin"
35-44,Education (Primary/Secondary),School Psychologist,99448.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Nonprofits,Designer,59000.0,0.0,USD,USA,New York,11 - 20 years,8 - 10 years,College degree,Female,White
35-44,Engineering or Manufacturing,Production Manager,88000.0,3000.0,USD,USA,New York,11 - 20 years,11 - 20 years,Some college,Female,Asian or Asian American
35-44,Computing or Tech,Quality Engineer,31200.0,2500.0,GBP,England,Outside of the US,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Social Work,Clinical Supervisor,59500.0,62000.0,USD,USA,Oregon,8 - 10 years,5-7 years,Master's degree,Female,White
25-34,Computing or Tech,UX Product Design Lead,127500.0,1000.0,USD,USA,Oregon,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Computing or Tech,Training Content Developer,58000.0,4000.0,USD,USA,New York,11 - 20 years,2 - 4 years,Master's degree,Female,White
18-24,Government and Public Administration,EHR Business Analyst,61000.0,0.0,USD,USA,Kansas,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Education (Higher Education),Librarian,645000.0,0.0,USD,USA,Florida,11 - 20 years,2 - 4 years,Master's degree,Female,White
55-64,Law,Lawyer,216000.0,150000.0,USD,USA,Oregon,41 years or more,31 - 40 years,"Professional degree (MD, JD, etc.)",Male,White
25-34,Computing or Tech,Internal Consultant,120000.0,0.0,USD,USA,Massachusetts,1 year or less,1 year or less,PhD,Female,White
25-34,Recruitment or HR,Senior Data Scientist,155000.0,0.0,USD,USA,New York,11 - 20 years,8 - 10 years,PhD,Female,White
45-54,Pharmaceutical Development,Associate Director,174000.0,19200.0,USD,USA,Washington,21 - 30 years,11 - 20 years,PhD,Female,White
25-34,Property or Construction,Branch Operations Coordinator ,35360.0,6000.0,USD,USA,Texas,5-7 years,1 year or less,Some college,Female,"Native American or Alaska Native, White"
25-34,"Accounting, Banking & Finance",Sr Portfolio Analyst,105000.0,36000.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Male,White
25-34,Computing or Tech,Software Developer,180000.0,120000.0,USD,USA,New York,2 - 4 years,2 - 4 years,College degree,Male,Asian or Asian American
25-34,Media & Digital,Associate Product Manager,115000.0,0.0,USD,USA,California,2 - 4 years,1 year or less,Master's degree,Female,White
35-44,Health care,Active Treatment Coordinator,65000.0,1000.0,USD,USA,Kentucky,5-7 years,5-7 years,Master's degree,Female,White
35-44,Law,Attorney ,160000.0,15000.0,USD,USA,Florida,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Male,Another option not listed here or prefer not to answer
35-44,Education (Primary/Secondary),Department chair ,63000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Male,White
25-34,Media & Digital,Reporter,81000.0,1500.0,USD,USA,Virginia,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
55-64,"Accounting, Banking & Finance",Full Charge Bookkeeper,65000.0,2000.0,USD,USA,Virginia,31 - 40 years,11 - 20 years,College degree,Female,White
35-44,Media & Digital,systems analyst,45500.0,1100.0,USD,USA,Pennsylvania,11 - 20 years,5-7 years,Master's degree,Male,White
25-34,Retail,General Manager,55000.0,5000.0,CAD,Canada,Outside of the US,5-7 years,5-7 years,College degree,Female,White
18-24,Nonprofits,Research Assistant ,45500.0,0.0,USD,USA,District of Columbia,2 - 4 years,1 year or less,College degree,Female,"Asian or Asian American, Native American or Alaska Native, White"
25-34,Entertainment,Digital Marketing Manager,65000.0,0.0,USD,USA,Minnesota,8 - 10 years,2 - 4 years,College degree,Female,White
35-44,Law,"Assistant Director, Human Resources",96900.0,0.0,USD,USA,Michigan,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,Black or African American
25-34,Recruitment or HR,Employee development coordinator ,40000.0,4000.0,USD,USA,Missouri,5-7 years,2 - 4 years,College degree,Female,White
25-34,Veterinary,Project Lead ,50000.0,5000.0,USD,USA,New Jersey,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Front End Engineer,100000.0,10000.0,USD,USA,North Carolina,2 - 4 years,2 - 4 years,Some college,Female,Asian or Asian American
55-64,Health care,"VP Information Security, Complaince, and Privacy",210000.0,0.0,USD,USA,California,31 - 40 years,21 - 30 years,College degree,Male,White
35-44,Health care,Clinical scientist,150000.0,20000.0,USD,USA,California,8 - 10 years,8 - 10 years,PhD,Female,"Hispanic, Latino, or Spanish origin"
35-44,Education (Primary/Secondary),Assistant Director,96900.0,0.0,USD,USA,Michigan,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,Black or African American
35-44,Health care,General Manager,140000.0,28000.0,USD,USA,Illinois,8 - 10 years,2 - 4 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Media coordinator,55200.0,0.0,AUD/NZD,Australia,Outside of the US,1 year or less,1 year or less,College degree,Female,Asian or Asian American
25-34,Law,Assistant US Attorney,120000.0,0.0,USD,USA,Ohio,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,Asian or Asian American
25-34,Computing or Tech,"Manager, Revenue Operations",100000.0,10000.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Female,White
35-44,Law,Office Manager,60500.0,2000.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Computing or Tech,RPA Developer,109200.0,0.0,USD,USA,"District of Columbia, Virginia",5-7 years,2 - 4 years,Some college,Female,White
55-64,"Accounting, Banking & Finance",Small Business Administration Analyst ,72000.0,3000.0,USD,USA,New York,31 - 40 years,21 - 30 years,Some college,Female,White
25-34,Translation,Translator,22800.0,1900.0,EUR,France,Outside of the US,8 - 10 years,5-7 years,Master's degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
35-44,Engineering or Manufacturing,Principal Software Engineer,126900.0,5900.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Male,White
55-64,Law,Senior Corporate Counsel,180000.0,50000.0,USD,USA,Virginia,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Male,Asian or Asian American
25-34,Sales,Sales Executive,55000.0,40000.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,College degree,Male,White
25-34,Computing or Tech,Digital marketing manager,59000.0,3000.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,White
55-64,Law,Senior Corporate Counsel,180000.0,50000.0,USD,USA,Virginia,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Male,Asian or Asian American
25-34,Computing or Tech,Software Engineer,175000.0,175000.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Some college,Male,White
45-54,"Accounting, Banking & Finance",Network Engineer,172000.0,28000.0,USD,USA,New Jersey,21 - 30 years,21 - 30 years,College degree,Male,White
45-54,Health care,Network Administrator,70000.0,8000.0,USD,USA,Vermont,5-7 years,5-7 years,College degree,Female,White
35-44,Health care,Doctor,800000.0,200000.0,Other,Thailand,Outside of the US,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Male,Asian or Asian American
35-44,Retail,Assistant Store Leader,59310.0,6000.0,USD,USA,New York,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,Health care,Psychometrist,42000.0,100.0,USD,USA,Michigan,1 year or less,1 year or less,Master's degree,Female,White
35-44,Government and Public Administration,Account Representative - Editorial,62000.0,0.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Engineering or Manufacturing,Senior staff engineer,153500.0,6000.0,USD,USA,California,2 - 4 years,2 - 4 years,PhD,Female,"Middle Eastern or Northern African, White"
35-44,Insurance,System Treaty Analyst ,69000.0,10000.0,USD,USA,Missouri,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Landscape Architecture,Landscape Architect/Associate,82000.0,4000.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Nonprofits,Social Media Manager,40000.0,0.0,USD,USA,Indiana,5-7 years,5-7 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Tax principal,131000.0,13000.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,Master's degree,Male,White
25-34,Recruitment or HR,Recruiter ,48000.0,20000.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Investment Professional,180000.0,200000.0,USD,USA,California,5-7 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Specialist ,78000.0,4000.0,USD,USA,Indiana,5-7 years,2 - 4 years,Master's degree,Female,White
35-44,Computing or Tech,Senior Technical Writer,102000.0,7695.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Engineering or Manufacturing,Senior Financial Analyst,107000.0,20000.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,Master's degree,Male,White
25-34,Media & Digital,Account Manager,35000.0,0.0,GBP,England,Outside of the US,5-7 years,5-7 years,High School,Female,White
25-34,Edtech,Content Manager,27000.0,0.0,GBP,England,Outside of the US,5-7 years,2 - 4 years,College degree,Female,White
25-34,Retail mid level management,"General Manager, Inventory Manager",36000.0,3000.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Some college,Female,"Native American or Alaska Native, White"
35-44,Education (Higher Education),Visiting Assistant Professor of Physics,57000.0,0.0,USD,USA,Florida,11 - 20 years,11 - 20 years,PhD,Male,White
35-44,Computing or Tech,Senior Copywriter,89000.0,17000.0,USD,USA,Minnesota,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,Computing or Tech,"Manager, Program Management",115000.0,25000.0,USD,USA,Texas,11 - 20 years,5-7 years,College degree,Female,White
35-44,Health care,Staff Assistant III,45760.0,100.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Law,Attorney-Advisor,136776.0,1200.0,USD,USA,California,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Education (Higher Education),Assistant Editor,38400.0,0.0,USD,USA,Texas,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Health care,Nurse ,104000.0,0.0,USD,USA,Georgia,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Education (Higher Education),Assoicate Library Director,101000.0,0.0,USD,USA,Alabama,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Media & Digital,Senior production editor,56000.0,0.0,USD,USA,New Jersey,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,"Marketing, Advertising & PR",Supervisor Project Coordination,63000.0,0.0,USD,USA,Michigan,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Government and Public Administration,Budget Coordinator,126000.0,0.0,USD,USA,Washington,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Law,Paralegal ,95000.0,9000.0,USD,USA,New York,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Retail,Book shelver,35000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,White
25-34,Retail,Senior Strategic Sourcing Manager,133000.0,15000.0,USD,USA,Ohio,11 - 20 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,CX Lead and Scrum Master,87500.0,1000.0,USD,USA,Oregon,11 - 20 years,5-7 years,College degree,Male,White
25-34,Government and Public Administration,Public Health contractor ,57000.0,0.0,USD,USA,Texas,2 - 4 years,2 - 4 years,Master's degree,Male,"Hispanic, Latino, or Spanish origin"
55-64,Sales,Inside sales manager,5000044.0,4000.0,USD,USA,New Jersey,31 - 40 years,21 - 30 years,Master's degree,Female,Black or African American
55-64,Sales,Strategic Account Manager,98000.0,20000.0,USD,USA,North Carolina,31 - 40 years,21 - 30 years,College degree,Female,White
25-34,Business or Consulting,consultant,65000.0,5000.0,USD,USA,Texas,5-7 years,2 - 4 years,Master's degree,Female,White
35-44,Education (Higher Education),Director of Advising and Career ,67000.0,0.0,USD,USA,Colorado,21 - 30 years,11 - 20 years,Master's degree,Female,White
45-54,Engineering or Manufacturing,Human Resources Generalist,62000.0,5000.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Transport or Logistics,Software Engineer Intern,112320.0,0.0,USD,USA,California,8 - 10 years,1 year or less,College degree,Female,Asian or Asian American
35-44,Computing or Tech,Segment Marketing Manager,87000.0,12000.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Female,"Asian or Asian American, White"
25-34,Recruitment or HR,Operations Analyst,71000.0,1000.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Software Engineer II,78750.0,4000.0,USD,USA,Florida,11 - 20 years,2 - 4 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
55-64,Utilities & Telecommunications,Senior director ,200000.0,50000.0,USD,USA,Texas,21 - 30 years,21 - 30 years,PhD,Male,Asian or Asian American
25-34,Art & Design,Interior Designer,57000.0,6400.0,USD,USA,Texas,5-7 years,5-7 years,College degree,Female,White
35-44,Engineering or Manufacturing,Program Manager,196000.0,35000.0,USD,USA,California,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Education (Higher Education),Technical Services Librarian,40170.0,5000.0,USD,USA,Nebraska,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Government and Public Administration,Library Assistant,32460.0,62.0,USD,USA,Hawaii,5-7 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Senior Staff Engineer,75000.0,4000.0,USD,USA,California,5-7 years,5-7 years,Master's degree,Male,"Asian or Asian American, Black or African American"
25-34,Engineering or Manufacturing,Department Manager,98000.0,4000.0,USD,USA,Wyoming,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,"Marketing, Advertising & PR",VP Client Services,126000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Computing or Tech,DevOps Engineer,34000.0,2000.0,GBP,England,Outside of the US,11 - 20 years,8 - 10 years,College degree,Male,White
35-44,Computing or Tech,Director of sales,90000.0,15000.0,USD,USA,Minnesota,11 - 20 years,2 - 4 years,Some college,Female,White
25-34,"Leisure, Sport & Tourism",Regional operations manager,67500.0,0.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Nonprofits,Senior Manager,47500.0,500.0,GBP,England,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,Another option not listed here or prefer not to answer
45-54,Law,Administrative Law Specialist,125364.0,0.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Male,White
25-34,Computing or Tech,Product researcher,128000.0,20000.0,CAD,Canada,Outside of the US,8 - 10 years,2 - 4 years,PhD,Female,Asian or Asian American
25-34,Computing or Tech,Front End Web Developer,85000.0,10200.0,USD,USA,Utah,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Devops,90000.0,0.0,CAD,Canada,Outside of the US,21 - 30 years,21 - 30 years,College degree,Male,"Hispanic, Latino, or Spanish origin"
25-34,Computing or Tech,Project Manager,128000.0,12800.0,USD,USA,Michigan,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Finance and payroll support analyst,54000.0,1000.0,USD,USA,Mississippi,8 - 10 years,8 - 10 years,College degree,Female,Black or African American
25-34,"Accounting, Banking & Finance",Associate,85000.0,15000.0,USD,USA,District of Columbia,5-7 years,5-7 years,College degree,Female,Asian or Asian American
25-34,Engineering or Manufacturing,Mechanical Engineer II,94000.0,16000.0,USD,USA,Arizona,5-7 years,5-7 years,College degree,Male,Asian or Asian American
35-44,Pharma,"Director, Medical Information ",210000.0,100000.0,USD,USA,Virginia,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Architecture,Senior Architect,145000.0,7000.0,USD,USA,California,11 - 20 years,11 - 20 years,Master's degree,Female,Another option not listed here or prefer not to answer
35-44,Retail,IT Mac Lead,42500.0,1000.0,GBP,England,Outside of the US,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Construction,HR Specialist,47100.0,5000.0,USD,USA,Colorado,11 - 20 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,senior technical professional,110000.0,2000.0,USD,USA,California,5-7 years,5-7 years,College degree,Male,Asian or Asian American
35-44,Computing or Tech,Product Manager,99000.0,15000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Engineering or Manufacturing,Engineering Manager,168000.0,17000.0,USD,USA,Oregon,31 - 40 years,21 - 30 years,Master's degree,Male,White
45-54,Computing or Tech,Principal Engineer,175000.0,125000.0,USD,New Zealand,Outside of the US,21 - 30 years,11 - 20 years,High School,Male,White
25-34,Computing or Tech,Senior Customer Champion,46100.0,7000.0,GBP,England,Outside of the US,8 - 10 years,5-7 years,College degree,Male,White
45-54,Education (Higher Education),Professional Teaching Fellow,180000.0,0.0,AUD/NZD,New Zealand,Outside of the US,21 - 30 years,21 - 30 years,College degree,Male,White
35-44,Computing or Tech,Creative technologist ,200000.0,200000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,"Accounting, Banking & Finance",Partner,185000.0,30000.0,AUD/NZD,New Zealand,Outside of the US,8 - 10 years,8 - 10 years,College degree,Male,White
35-44,Engineering or Manufacturing,Senior IT Program Manager,187000.0,25000.0,USD,USA,Colorado,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Property or Construction,Purchasing Specialist,37440.0,0.0,USD,USA,Pennsylvania,11 - 20 years,1 year or less,College degree,Female,White
45-54,Art & Design,Creative director ,250000.0,260000.0,USD,USA,California,21 - 30 years,21 - 30 years,Some college,Male,Another option not listed here or prefer not to answer
35-44,Health care,Medical director,230000.0,70000.0,USD,USA,New Jersey,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Male,White
35-44,"Accounting, Banking & Finance",Financial Reporting Associate,45000.0,2500.0,USD,USA,Maine,21 - 30 years,8 - 10 years,College degree,Female,White
55-64,Law,Litigation assistant,86000.0,8000.0,USD,USA,California,41 years or more,31 - 40 years,Master's degree,Female,White
25-34,Political Research,Research Analyst,40000.0,1300.0,USD,USA,Virginia,2 - 4 years,1 year or less,College degree,Male,White
18-24,Media & Digital,Analyst,65000.0,5000.0,USD,USA,New York,2 - 4 years,2 - 4 years,College degree,Male,White
45-54,Education (Higher Education),Administrative Support Assistant 4,47196.0,0.0,USD,USA,Pennsylvania,21 - 30 years,11 - 20 years,Some college,Female,White
18-24,Environmnetal ,Ecological specialist ,43000.0,3000.0,USD,USA,Florida,5-7 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Services and Systems designer,49000.0,0.0,USD,USA,Florida,11 - 20 years,5-7 years,College degree,Non-binary,"Asian or Asian American, Hispanic, Latino, or Spanish origin"
25-34,"Marketing, Advertising & PR",Account Coordinator ,43500.0,0.0,USD,USA,Missouri,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Software Engineering manager,194000.0,118000.0,USD,USA,California,11 - 20 years,2 - 4 years,College degree,Male,Asian or Asian American
35-44,Computing or Tech,Client success manager ,65000.0,15000.0,USD,USA,Arizona,5-7 years,2 - 4 years,College degree,Female,Asian or Asian American
35-44,"Accounting, Banking & Finance",DevOps engineer,135000.0,13500.0,USD,USA,Louisiana,8 - 10 years,1 year or less,College degree,Male,White
35-44,Education (Higher Education),Associate Professor,100000.0,10000.0,USD,USA,Connecticut,11 - 20 years,11 - 20 years,PhD,Female,"Hispanic, Latino, or Spanish origin"
35-44,Transport or Logistics,Warehouse Supervisor,60000.0,0.0,USD,USA,Oregon,21 - 30 years,5-7 years,Master's degree,Female,White
45-54,Health care,Data Analyst,80000.0,1300.0,USD,USA,North Carolina,21 - 30 years,2 - 4 years,PhD,Female,White
45-54,Computing or Tech,Senior Software Engineer II,129000.0,11000.0,USD,USA,Texas,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Computing or Tech,"DevOps, Senior Engineer",176000.0,17600.0,USD,USA,"California, Colorado",11 - 20 years,5-7 years,College degree,Male,White
25-34,Insurance,Business Analyst,74000.0,6000.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,"Marketing, Advertising & PR",Vice President of Public Relations,130000.0,3000.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Female,White
18-24,"Accounting, Banking & Finance",Analyst,32000.0,2500.0,GBP,England,Outside of the US,1 year or less,1 year or less,Master's degree,Male,Asian or Asian American
35-44,Hospitality & Events,General Manager ,53000.0,0.0,USD,USA,Iowa,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,Business or Consulting,Salesforce Consultant,94000.0,7000.0,USD,USA,Florida,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
55-64,Education (Primary/Secondary),Administrative Office Associate,58600.0,3500.0,USD,USA,Virginia,31 - 40 years,11 - 20 years,College degree,Female,White
35-44,Health care,Account Manager,135000.0,135000.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Biotechnology,Process engineer,107000.0,5000.0,USD,USA,Massachusetts,5-7 years,2 - 4 years,College degree,Female,Asian or Asian American
25-34,Transport or Logistics,Human Resources Coordinator,39520.0,2500.0,USD,USA,Colorado,2 - 4 years,2 - 4 years,Some college,Male,White
18-24,"Accounting, Banking & Finance",Business manager,130000.0,10000.0,USD,USA,Virginia,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
25-34,Computing or Tech,Director of Cybersecurity,120000.0,0.0,USD,USA,Washington,8 - 10 years,2 - 4 years,Master's degree,Female,White
18-24,Business or Consulting,Management consultant ,65000.0,0.0,USD,USA,"New York, Virginia",1 year or less,1 year or less,College degree,Female,White
25-34,Media & Digital,Product Designer,120000.0,12000.0,USD,USA,New York,2 - 4 years,2 - 4 years,Master's degree,Female,Asian or Asian American
45-54,Computing or Tech,Operations Manager,100000.0,12000.0,USD,USA,California,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,Public Policy,Special Events Associate,56000.0,0.0,USD,USA,District of Columbia,5-7 years,2 - 4 years,College degree,Female,Asian or Asian American
25-34,Nonprofits,Editor,57000.0,2000.0,USD,USA,District of Columbia,5-7 years,5-7 years,College degree,Male,White
25-34,Nonprofits,Research Assistant,48500.0,500.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Nonprofits,Digital analytics specialist,56000.0,0.0,USD,USA,District of Columbia,2 - 4 years,2 - 4 years,College degree,Female,Black or African American
35-44,Business or Consulting,Executive assistant,62000.0,5000.0,USD,USA,Illinois,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Software Developer,500000.0,0.0,Other,India,Outside of the US,2 - 4 years,2 - 4 years,College degree,Male,Asian or Asian American
55-64,"Accounting, Banking & Finance",Customer Service,28080.0,2000.0,USD,USA,Wisconsin,21 - 30 years,5-7 years,College degree,Female,White
35-44,Transport or Logistics,Logistics coordinator,52000.0,2000.0,USD,USA,Illinois,8 - 10 years,2 - 4 years,Master's degree,Female,White
25-34,Business or Consulting,Consultant,130000.0,0.0,USD,USA,California,8 - 10 years,8 - 10 years,College degree,Male,White
35-44,Computing or Tech,Senior Project Manager,52000.0,43000.0,USD,Thailand,Outside of the US,11 - 20 years,5-7 years,Master's degree,Female,Asian or Asian American
25-34,Law,Legal Secretary/Paralegal,40664.0,0.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Vice President,195000.0,100000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Male,Asian or Asian American
45-54,Engineering or Manufacturing,Associate Staff Scientist,80000.0,2000.0,USD,USA,North Carolina,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Manager,95000.0,10000.0,CAD,Canada,Outside of the US,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,"Accounting, Banking & Finance",Corporate tax adviser ,27825.0,0.0,GBP,England,Outside of the US,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Banker,40000.0,2000.0,USD,USA,Ohio,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Computing or Tech,Sr. Sales Compensation Analyst,115000.0,5000.0,USD,USA,California,11 - 20 years,8 - 10 years,High School,Female,Asian or Asian American
25-34,Retail,Senior Logistics Analyst,70000.0,7000.0,USD,USA,North Carolina,5-7 years,5-7 years,Some college,Female,Another option not listed here or prefer not to answer
